  PID TTY          TIME CMD
    1 ?        00:00:08 systemd
    2 ?        00:00:00 kthreadd
    3 ?        00:00:00 rcu_gp
    4 ?        00:00:00 rcu_par_gp
    5 ?        00:00:00 netns
    9 ?        00:00:00 mm_percpu_wq
   10 ?        00:00:00 rcu_tasks_kthre
   11 ?        00:00:00 rcu_tasks_rude_
   12 ?        00:00:00 rcu_tasks_trace
   13 ?        00:00:00 ksoftirqd/0
   14 ?        00:00:02 rcu_preempt
   15 ?        00:00:00 migration/0
   16 ?        00:00:00 idle_inject/0
   18 ?        00:00:00 cpuhp/0
   19 ?        00:00:00 cpuhp/1
   20 ?        00:00:00 idle_inject/1
   21 ?        00:00:00 migration/1
   22 ?        00:00:00 ksoftirqd/1
   25 ?        00:00:00 cpuhp/2
   26 ?        00:00:00 idle_inject/2
   27 ?        00:00:00 migration/2
   28 ?        00:00:00 ksoftirqd/2
   29 ?        00:00:00 kworker/2:0-events
   31 ?        00:00:00 cpuhp/3
   32 ?        00:00:00 idle_inject/3
   33 ?        00:00:00 migration/3
   34 ?        00:00:00 ksoftirqd/3
   37 ?        00:00:00 kdevtmpfs
   38 ?        00:00:00 inet_frag_wq
   39 ?        00:00:00 kworker/1:1-inet_frag_wq
   42 ?        00:00:00 kauditd
   43 ?        00:00:00 khungtaskd
   44 ?        00:00:00 oom_reaper
   45 ?        00:00:00 writeback
   46 ?        00:00:00 kcompactd0
   47 ?        00:00:00 ksmd
   93 ?        00:00:00 kintegrityd
   94 ?        00:00:00 kblockd
   95 ?        00:00:00 blkcg_punt_bio
   96 ?        00:00:00 tpm_dev_wq
   97 ?        00:00:00 ata_sff
   98 ?        00:00:00 md
   99 ?        00:00:00 edac-poller
  100 ?        00:00:00 devfreq_wq
  101 ?        00:00:00 watchdogd
  104 ?        00:00:01 kworker/0:1H-events_highpri
  105 ?        00:00:00 kswapd0
  106 ?        00:00:00 ecryptfs-kthrea
  108 ?        00:00:00 kthrotld
  109 ?        00:00:00 nvme-wq
  110 ?        00:00:00 nvme-reset-wq
  111 ?        00:00:00 nvme-delete-wq
  112 ?        00:00:00 DWC Notificatio
  114 ?        00:00:00 kworker/3:3-events
  115 ?        00:00:00 vchiq-slot/0
  116 ?        00:00:00 vchiq-recy/0
  117 ?        00:00:00 vchiq-sync/0
  119 ?        00:00:00 mld
  121 ?        00:00:00 ipv6_addrconf
  123 ?        00:00:00 mmc_complete
  124 ?        00:00:00 kworker/3:1H-kblockd
  133 ?        00:00:00 kstrp
  136 ?        00:00:00 zswap-shrink
  137 ?        00:00:00 kworker/u9:0-xprtiod
  140 ?        00:00:00 cryptd
  154 ?        00:00:00 charger_manager
  188 ?        00:00:00 kworker/2:1H-kblockd
  189 ?        00:00:00 spi0
  202 ?        00:00:00 kworker/3:2H-kblockd
  210 ?        00:00:00 kworker/2:2H-kblockd
  213 ?        00:00:00 dwc_otg
  239 ?        00:00:00 raid5wq
  273 ?        00:00:00 kworker/1:2H-kblockd
  304 ?        00:00:00 jbd2/mmcblk0p2-
  305 ?        00:00:00 ext4-rsv-conver
  392 ?        00:00:01 systemd-journal
  410 ?        00:00:00 rpciod
  411 ?        00:00:00 xprtiod
  425 ?        00:00:00 kmpathd
  426 ?        00:00:00 kmpath_handlerd
  427 ?        00:00:00 multipathd
  430 ?        00:00:01 kworker/0:3-events
  439 ?        00:00:02 systemd-udevd
  448 ?        00:00:00 kworker/2:3-events
  462 ?        00:00:00 vchiq-keep/0
  463 ?        00:00:00 SMIO
  469 ?        00:00:00 mmal-vchiq
  470 ?        00:00:00 mmal-vchiq
  471 ?        00:00:00 mmal-vchiq
  472 ?        00:00:00 mmal-vchiq
  473 ?        00:00:00 mmal-vchiq
  474 ?        00:00:00 mmal-vchiq
  476 ?        00:00:00 mmal-vchiq
  578 ?        00:00:00 rpcbind
  579 ?        00:00:00 systemd-timesyn
  583 ?        00:00:00 blkmapd
  585 ?        00:00:00 rpc.idmapd
  586 ?        00:00:00 nfsdcld
  623 ?        00:00:00 systemd-network
  625 ?        00:00:00 systemd-resolve
  657 ?        00:00:00 dbus-daemon
  660 ?        00:00:00 irqbalance
  661 ?        00:00:00 networkd-dispat
  662 ?        00:00:00 polkitd
  664 ?        00:00:00 rsyslogd
  668 ?        00:00:00 systemd-logind
  669 ?        00:00:00 udisksd
  670 ?        00:00:00 wpa_supplicant
  680 ?        00:00:02 ModemManager
  695 ?        00:00:00 cron
  700 ?        00:00:00 rpc.statd
